Question No.,Question,Prompt Type,Model Used,Top Retrieved Source,Top Retrieval Score,All Retrieved Sources,Generated Answer,Answer Word Count,Mentions Source/Citation,Detects Insufficient Context,API Error,Manual Relevance Score (1-5),Manual Correctness Score (1-5),Manual Grounding Score (1-5),"Manual Hallucination Score (1-5, lower is better)",Manual Notes / Issues
3,What are the rules for probation period?,Citational,gemini-2.5-flash,Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt,0.7233,"1. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 901 | score 0.7233
2. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 822 | score 0.6809
3. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 786 | score 0.6595
4. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 872 | score 0.4422
5. Full Time Employment Contract  Non-UAE Final.txt | chunk 1729 | score 0.44","- Answer:
A probation period is a period required by an employer to evaluate a worker's performance and allows the worker to become familiar with job duties and the work environment, to determine if the employment contract will continue or be terminated.
- Evidence: Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt (Chunk 872)

For a general labour relationship, the employer may appoint a worker under a probation period not exceeding six months from the date of commencing work. During this period, the employer may terminate the worker's service by notifying the worker in writing at least fourteen days prior to the specified termination date.
- Evidence: Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt (Chunk 901)

In the context of Executive Regulations of Human Resources Law in the Federal Government, a probation period is six months from the commencement date, which may be extended for three months. During this period, the First Party (employer) may terminate the service of the Second Party (employee) after serving a five working-day notice. The Second Party may resign during probation by notifying the First Party with a similar notice on the date set for resignation.
- Evidence: Executive Regulations Of Human Resources Law in the Federal Government.txt (Chunk 822, Chunk 786)

A specific Full Time Employment Contract might state a three-month probation period commencing on the contract's start date, extendible to a further three months. During this time, the First Party will evaluate the Second Party’s performance and confirm or terminate employment.
- Evidence: Full Time Employment Contract Non-UAE Final.txt (Chunk 1729)",267,Yes,No,,,,,,
3,What are the rules for probation period?,Simple,gemini-2.5-flash,Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt,0.7233,"1. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 901 | score 0.7233
2. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 822 | score 0.6809
3. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 786 | score 0.6595
4. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 872 | score 0.4422
5. Full Time Employment Contract  Non-UAE Final.txt | chunk 1729 | score 0.44","Here are the rules for probation periods based on the available documents:

The probation period is a time when the employer evaluates the employee's performance and the employee gets familiar with the job duties and the work environment. A decision is then made whether to continue the employment contract or end it.

The rules for probation periods can vary depending on the specific law or contract:

1.  **Under the Federal Labour Law (Federal Decree by Law No. 33 of 2021):**
    *   The probation period cannot be longer than **six (6) months** from when the employee starts work.
    *   If the employer decides to end the employee's service during probation, they must give the employee a written notice at least **fourteen (14) days** before the termination date.

2.  **For Federal Government Employees (Executive Regulations):**
    *   The probation period is **six (6) months** from the start date.
    *   This probation period can be extended for an additional **three (3) months**.
    *   If the employer decides to end the service during probation, they must give a **five working-day notice**.
    *   If the employee decides to resign during probation, they must also give a similar **five working-day notice**.

3.  **For Specific Employment Contracts (as seen in one example document):**
    *   Some contracts may specify a **three (3) month** probation period.
    *   This period can be extended for a further **three (3) months** (making a total of six months).
    *   During this time, the employer will evaluate the employee's performance to decide whether to confirm their employment or end it. This specific document does not detail the notice period for termination during probation.

In summary, the maximum probation period is generally six months, but for Federal Government employees, it can be extended up to nine months. The notice period for termination during probation also varies, being 14 days under the general Federal Labour Law and 5 working days for Federal Government employees. Some specific contracts might have different initial probation lengths and extensions.",328,No,No,,,,,,
4,What is the maximum working hours per week?,Original,gemini-2.5-flash,Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt,0.7533,"1. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 935 | score 0.7533
2. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1206 | score 0.7182
3. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 467 | score 0.7065
4. Remote Work Guide in the Private Sector - EN.txt | chunk 1856 | score 0.6937
5. Full Time Employment Contract  Non-UAE Final.txt | chunk 1721 | score 0.6292","The maximum normal working hours for workers shall be forty-eight (48) hours per week.

This information is stated in:
*   Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt (Article 17)
*   Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt (Article 18)
*   Remote Work Guide in the Private Sector - EN.txt
*   Full Time Employment Contract Non-UAE Final.txt (Article 8)",71,Yes,No,,,,,,
4,What is the maximum working hours per week?,Strict,gemini-2.5-flash,Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt,0.7533,"1. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 935 | score 0.7533
2. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1206 | score 0.7182
3. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 467 | score 0.7065
4. Remote Work Guide in the Private Sector - EN.txt | chunk 1856 | score 0.6937
5. Full Time Employment Contract  Non-UAE Final.txt | chunk 1721 | score 0.6292",The maximum normal working hours for workers shall be forty-eight (48) hours per week.,14,No,No,,,,,,
4,What is the maximum working hours per week?,Citational,gemini-2.5-flash,Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt,0.7533,"1. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 935 | score 0.7533
2. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1206 | score 0.7182
3. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 467 | score 0.7065
4. Remote Work Guide in the Private Sector - EN.txt | chunk 1856 | score 0.6937
5. Full Time Employment Contract  Non-UAE Final.txt | chunk 1721 | score 0.6292","- Answer: The maximum normal working hours for workers shall be forty-eight (48) hours per week.
- Evidence: Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt [935], Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt [1206], Remote Work Guide in the Private Sector - EN.txt [1856], Full Time Employment Contract Non-UAE Final.txt [1721]",64,Yes,No,,,,,,
4,What is the maximum working hours per week?,Simple,gemini-2.5-flash,Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt,0.7533,"1. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 935 | score 0.7533
2. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1206 | score 0.7182
3. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 467 | score 0.7065
4. Remote Work Guide in the Private Sector - EN.txt | chunk 1856 | score 0.6937
5. Full Time Employment Contract  Non-UAE Final.txt | chunk 1721 | score 0.6292","Based on the available documents, the maximum normal working hours for employees is 48 hours per week.",17,No,No,,,,,,
5,How can an employee file a labour complaint?,Original,gemini-2.5-flash,Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt,0.6173,"1. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1558 | score 0.6173
2. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1578 | score 0.5675
3. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1575 | score 0.4087
4. Resolving labour disputes _ The Official Platform of the UAE Government.txt | chunk 1897 | score 0.3983
5. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1577 | score 0.3854","An employee can file a labour complaint by submitting it to the Ministry. The Ministry will then examine the complaint and take the necessary measures to settle the dispute amicably. This applies if the worker disputes any of the rights accrued to them under the Decree-Law.

For collective labour disputes involving all or a group of the establishment's workers, the complaint shall be filed through the channels specified by the Ministry, and the type and amount of the claims shall be stated.

Source: Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments, Article (31) and Article (32).",103,Yes,No,,,,,,
5,How can an employee file a labour complaint?,Strict,gemini-2.5-flash,Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt,0.6173,"1. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1558 | score 0.6173
2. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1578 | score 0.5675
3. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1575 | score 0.4087
4. Resolving labour disputes _ The Official Platform of the UAE Government.txt | chunk 1897 | score 0.3983
5. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1577 | score 0.3854","An employee can submit a complaint to the Ministry if they dispute any rights accrued to them under the Decree-Law. The complaint should be filed through channels specified by the Ministry, and the type and amount of the claims shall be stated. The Ministry will examine the complaint and take necessary measures to settle the dispute amicably.",57,No,No,,,,,,
5,How can an employee file a labour complaint?,Citational,gemini-2.5-flash,Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt,0.6173,"1. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1558 | score 0.6173
2. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1578 | score 0.5675
3. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1575 | score 0.4087
4. Resolving labour disputes _ The Official Platform of the UAE Government.txt | chunk 1897 | score 0.3983
5. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1577 | score 0.3854","- Answer: An employee can file a complaint with the Ministry if they dispute any of the rights accrued to them under the Decree-Law. The Ministry will then examine the complaint and take the necessary measures to settle the dispute amicably.
- Evidence: Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt, Chunk 3",60,Yes,No,,,,,,
5,How can an employee file a labour complaint?,Simple,gemini-2.5-flash,Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt,0.6173,"1. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1558 | score 0.6173
2. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1578 | score 0.5675
3. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1575 | score 0.4087
4. Resolving labour disputes _ The Official Platform of the UAE Government.txt | chunk 1897 | score 0.3983
5. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1577 | score 0.3854","An employee can file a labour complaint with the Ministry if they have a dispute about any of their rights under the law. These complaints should be submitted through the specific channels specified by the Ministry.

It's also important to note that if an employee receives a penalty, they have the right to file a grievance claim directly with the company's management about that penalty.",65,No,No,,,,,,
6,Can an employer terminate an employee without notice?,Original,gemini-2.5-flash,Terminating employment contracts and arbitrary dismissal _ The Official Platform of the UAE Government.txt,0.6981,"1. Terminating employment contracts and arbitrary dismissal _ The Official Platform of the UAE Government.txt | chunk 1953 | score 0.6981
2. Terminating employment contracts and arbitrary dismissal _ The Official Platform of the UAE Government.txt | chunk 1963 | score 0.6969
3. Terminating employment contracts and arbitrary dismissal _ The Official Platform of the UAE Government.txt | chunk 1969 | score 0.6877
4. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 735 | score 0.5897
5. Terminating employment contracts and arbitrary dismissal _ The Official Platform of the UAE Government.txt | chunk 1954 | score 0.4168","Yes, an employer may terminate an employee without notice. This is mentioned in Article 44 of the UAE Labour Law, for instance, if the employee adopts a false identity or submits forged documents or certificates (Source: Terminating employment contracts and arbitrary dismissal _ The Official Platform of the UAE Government.txt).",50,Yes,No,,,,,,
6,Can an employer terminate an employee without notice?,Strict,gemini-2.5-flash-lite,Terminating employment contracts and arbitrary dismissal _ The Official Platform of the UAE Government.txt,0.6981,"1. Terminating employment contracts and arbitrary dismissal _ The Official Platform of the UAE Government.txt | chunk 1953 | score 0.6981
2. Terminating employment contracts and arbitrary dismissal _ The Official Platform of the UAE Government.txt | chunk 1963 | score 0.6969
3. Terminating employment contracts and arbitrary dismissal _ The Official Platform of the UAE Government.txt | chunk 1969 | score 0.6877
4. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 735 | score 0.5897
5. Terminating employment contracts and arbitrary dismissal _ The Official Platform of the UAE Government.txt | chunk 1954 | score 0.4168","Yes, an employer may terminate the services of an employee without notice under certain circumstances outlined in Article 44 of the UAE Labour Law. These circumstances include if the employee adopts a false identity or submits forged documents or certificates.",40,No,No,,,,,,
6,Can an employer terminate an employee without notice?,Citational,gemini-2.5-flash,Terminating employment contracts and arbitrary dismissal _ The Official Platform of the UAE Government.txt,0.6981,"1. Terminating employment contracts and arbitrary dismissal _ The Official Platform of the UAE Government.txt | chunk 1953 | score 0.6981
2. Terminating employment contracts and arbitrary dismissal _ The Official Platform of the UAE Government.txt | chunk 1963 | score 0.6969
3. Terminating employment contracts and arbitrary dismissal _ The Official Platform of the UAE Government.txt | chunk 1969 | score 0.6877
4. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 735 | score 0.5897
5. Terminating employment contracts and arbitrary dismissal _ The Official Platform of the UAE Government.txt | chunk 1954 | score 0.4168","- Answer: Yes, an employer may terminate the services of an employee without notice under certain circumstances. These circumstances include if the employee adopts a false identity or submits forged documents or certificates.
- Evidence: Terminating employment contracts and arbitrary dismissal _ The Official Platform of the UAE Government.txt, Chunk 1963",51,Yes,No,,,,,,
6,Can an employer terminate an employee without notice?,Simple,gemini-2.5-flash-lite,Terminating employment contracts and arbitrary dismissal _ The Official Platform of the UAE Government.txt,0.6981,"1. Terminating employment contracts and arbitrary dismissal _ The Official Platform of the UAE Government.txt | chunk 1953 | score 0.6981
2. Terminating employment contracts and arbitrary dismissal _ The Official Platform of the UAE Government.txt | chunk 1963 | score 0.6969
3. Terminating employment contracts and arbitrary dismissal _ The Official Platform of the UAE Government.txt | chunk 1969 | score 0.6877
4. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 735 | score 0.5897
5. Terminating employment contracts and arbitrary dismissal _ The Official Platform of the UAE Government.txt | chunk 1954 | score 0.4168","Yes, an employer can terminate an employee without notice in certain situations. This can happen if the employee uses a false identity or submits forged documents or certificates.",28,No,No,,,,,,
